L1,,542839.7890,3009539.6170,250.2370
L2,,542836.0000,3009454.3750,250.1720
L2,,542847.9180,3009478.0770,250.1720
L3,,542815.0670,3009473.6720,250.1920
L4,,542811.9160,3009535.9250,250.1750
L5,,542802.8810,3009534.5500,249.9330
L6,,542788.7080,3009532.7760,249.8750
L7,,542792.6450,3009503.0570,249.9460
L8,,542708.6010,3009491.8720,249.9550
L9,,542704.4160,3009521.5670,249.8540
L10,,542683.4370,3009518.8280,249.8750
L11,,542677.2480,3009517.9500,249.8790
L12,,542653.5530,3009514.7770,249.9590
L13,,542653.8900,3009510.5830,249.9840
L14,,542654.6950,3009505.1720,249.9140
L15,,542661.9350,3009453.4550,250.0160
L16,,542694.8360,3009457.9210,249.9400
L17,,542698.9500,3009428.1820,249.9650
L18,,542730.8860,3009432.2100,249.9550
L19,,542741.0320,3009433.5500,249.9680
L20,,542798.6540,3009441.1360,249.9820
L21,,542806.6300,3009442.3370,249.9550
L22,,542818.8720,3009444.0160,249.9870
L23,,542818.3560,3009447.6690,250.0020
L24,,542810.0620,3009546.5900,249.7150
L25,,542809.3950,3009550.0220,247.9430
L26,,542838.0960,3009555.4900,247.9680
L27,,542838.8780,3009551.8630,249.6700
L28,,542843.8520,3009552.9410,249.7440
L29,,542843.0930,3009556.3250,248.9090
L30,,542824.3430,3009656.3520,247.9070
L31,,542822.5950,3009656.0280,247.8990
L32,,542822.3620,3009655.9990,247.9080
L33,,542818.5130,3009676.3130,247.8930
L34,,542820.4310,3009676.7080,247.9540
L35,,542819.6840,3009680.7500,247.8990
L36,,542812.5450,3009718.0790,247.9160
L37,,542773.7480,3009712.6470,247.8760
L38,,542780.9780,3009673.4130,247.9060
L39,,542768.6650,3009712.4000,247.9750
L40,,542769.5840,3009706.5220,248.0070
L42,,542763.7800,3009705.4060,246.0700
L43,,542777.1100,3009672.1650,247.9710
L44,,542778.0360,3009672.3640,247.9300
L45,,542799.9080,3009558.6330,247.9370
L46,,542798.8400,3009558.4000,247.9510
L48,,542800.6900,3009548.2380,248.0270
L49,,542801.2510,3009544.0960,249.6510
L50,,542792.8830,3009556.4840,246.1430
L51,,542788.3420,3009555.1350,243.9080
L52,,542789.8740,3009550.2190,244.2470
L53,,542780.6450,3009548.5360,243.9480
L54,,542777.9090,3009554.5060,243.8840
L55,,542772.9680,3009583.9410,243.8860
L56,,542734.6950,3009539.2250,243.8810
L57,,542735.4750,3009529.1660,243.9060
L58,,542705.0650,3009540.5290,243.8750
L59,,542692.1980,3009538.0320,243.9340
L60,,542704.5330,3009533.5880,246.0200
L61,,542733.4630,3009523.4980,245.9790
L62,,542698.7840,3009569.2540,243.9120
L63,,542684.2300,3009645.0050,243.8630
L65,,542678.3080,3009688.5470,246.0430
L66,,542708.4720,3009708.1320,245.9590
L67,,542732.6740,3009708.2390,246.0820
L68,,542747.4110,3009711.5200,246.0390
L69,,542764.6570,3009695.0170,243.9340
L70,,542759.6360,3009704.5730,243.9240
L72,,542751.3800,3009692.2190,243.9250
L73,,542757.6130,3009663.6360,243.9240
L74,,542713.8670,3009692.7790,243.8980
L75,,542710.4340,3009702.5990,243.8600
L76,,542678.2940,3009678.5560,243.8290
L77,,542665.3350,3009675.9210,243.8930
L78,,542658.3600,3009675.4830,244.1070
L79,,542657.1360,3009680.6640,244.2720
L80,,542682.8690,3009520.1490,249.8430
L81,,542678.6500,3009518.9770,249.9200
L82,,542677.7300,3009519.8360,249.8340
L83,,542652.9770,3009516.5070,249.9240
L84,,542653.2470,3009510.3240,249.9840
L85,,542649.7790,3009509.9420,249.9830
L86,,542645.6520,3009509.5740,251.0680
L87,,542641.6290,3009508.9360,251.1490
L88,,542648.7830,3009516.1140,248.0710
L89,,542643.7820,3009515.7500,248.0280
L90,,542675.9320,3009520.0090,248.0070
L91,,542677.5410,3009527.5500,248.0580
L92,,542675.9170,3009534.6860,247.9550
L93,,542674.4560,3009534.5860,247.9930
L94,,542670.9250,3009548.1540,248.0070
L95,,542675.8420,3009549.6660,247.9350
L96,,542675.4430,3009551.9410,247.9300
