66666
1,116.345,39.876
2,123.456,41.789
3,108.901,34.234
4,112.345,28.567
5,119.012,36.789
6,100.123,25.678
7,114.345,30.234
8,120.456,32.567
9,117.890,36.123
10,106.789,29.456
11,115.678,40.012
12,121.234,31.567
13,102.345,23.789
14,118.901,35.678
15,109.012,24.345
16,113.456,37.890
17,122.345,34.567
18,105.678,27.123
19,111.234,38.456
20,124.012,42.890
21,107.890,31.789
22,119.456,30.567
23,104.345,26.123
24,116.789,35.456
25,125.678,43.901
26,101.234,29.876
27,117.012,33.456
28,120.789,36.789
29,108.456,25.123
30,114.567,39.012
31,115.763,37.892
32,108.224,26.581
33,121.487,31.229
34,103.835,36.061
35,114.068,22.543
36,125.317,43.896
37,113.259,23.129
38,117.004,36.670
39,106.551,29.563
40,119.306,26.075
41,110.342,20.026
42,126.642,45.742
43,87.618,43.825
44,102.709,25.038
45,112.938,28.228
46,116.407,39.904
47,111.751,40.818
48,109.491,18.253
49,117.227,31.821
50,108.385,30.808
51,118.089,24.479
52,123.429,41.796
53,113.585,37.857
54,104.066,30.659
55,106.276,38.467
56,114.894,27.096
57,115.999,28.676
58,120.153,30.287
59,117.993,34.267
60,113.301,40.093
61,108.953,34.266
62,119.019,33.597
63,121.615,38.914
64,114.502,38.042
65,109.038,34.325
66,116.588,35.414
67,113.856,34.519
68,112.571,37.874
69,106.359,29.584
70,125.326,43.886
71,114.361,30.526
72,117.861,30.945
73,104.625,31.484
74,118.623,24.938
75,112.147,32.064
76,115.098,30.201
77,101.765,36.628
78,113.228,23.402
79,120.385,36.072
80,114.892,25.852
81,103.725,36.094
82,116.342,39.999
83,117.284,31.863
84,106.912,27.706
85,119.789,31.354
86,114.316,30.582
87,112.983,28.196
88,109.507,18.255
89,104.062,30.678
90,113.621,34.748
91,117.008,36.675
92,121.449,31.232
93,108.364,22.817
94,125.297,43.908
95,114.074,22.549
96,106.553,29.562
97,126.652,45.753
98,102.698,25.052
99,112.956,28.239
100,87.624,43.831
101,110.352,20.032
102,119.316,26.085
103,116.417,39.914
104,111.761,40.828
105,109.501,18.263
106,117.237,31.831
107,108.395,30.818
108,118.099,24.489
109,123.439,41.806
110,113.595,37.867
111,104.076,30.669
112,106.286,38.477
113,114.904,27.106
114,116.009,28.686
115,120.163,30.297
116,118.003,34.277
117,113.311,40.103
118,108.963,34.276
