H0,15.000
K0,K1,K2
A,3552.028,3354.823
B,3537.910,3348.913

K0,3574.012,3358.300,22.922 
P01,3570.355,3382.210,20.558 
P02,3571.827,3372.090,20.619 
P03,3570.907,3362.574,20.771 
P04,3569.494,3355.660,24.233 
P05,3556.682,3361.789,26.660 
P06,3547.554,3364.421,27.352 
P07,3534.086,3370.041,27.158 
P08,3517.549,3376.080,27.345 
P09,3505.572,3383.182,25.637 
P10,3498.562,3390.196,23.033 
P11,3494.457,3390.748,20.963 
P12,3500.501,3391.959,23.085 
P13,3510.753,3382.485,24.083 
P14,3522.092,3378.296,24.356 
P15,3531.567,3373.371,25.047 
P16,3546.386,3367.159,25.794 
P17,3556.219,3362.776,26.082 
P18,3559.558,3362.461,25.678 
P19,3554.746,3366.571,27.609 
P20,3545.254,3372.596,29.024 
P21,3540.860,3376.395,29.223 
P22,3536.141,3378.766,29.502 
K1,3534.227,3380.195,29.925 
P23,3525.945,3333.019,28.152 
P24,3519.592,3345.587,28.060 
P25,3513.249,3391.514,28.302 
P26,3523.724,3389.414,28.811 
P27,3537.846,3347.734,28.239 
P28,3540.773,3379.044,28.344 
P29,3549.894,3382.932,26.482 
P30,3543.390,3347.292,26.594 
P31,3546.992,3381.416,26.637 
P32,3558.964,3340.594,26.666 
P33,3565.741,3337.802,23.835 
P34,3561.203,3325.941,23.732 
P35,3561.762,3385.330,23.068 
P36,3569.250,3326.133,22.032 
P37,3572.318,3372.975,20.908 
P38,3568.279,3326.945,21.014 
P39,3550.913,3324.728,20.462 
P40,3537.754,3410.079,20.427 
P41,3509.525,3431.290,20.478
P42,3578.863,3327.300,23.678
K2,3497.844,3403.422,20.836 
